latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.36342,-103.41776,300.08,2.12,1.42,2026-04-16,04:02,T,10,6.1NRT,287.42,13.48,N
19.36573,-103.39623,312.57,2.13,1.42,2026-04-16,04:02,T,85,6.1NRT,284.96,37.16,N
19.76641,-104.31482,300.92,1.84,1.33,2026-04-16,04:02,T,35,6.1NRT,287.51,10.33,N
19.44231,-104.45767,327.79,1.78,1.31,2026-04-16,04:02,T,100,6.1NRT,292.17,60.18,N
19.76824,-104.2977,303.79,1.85,1.33,2026-04-16,04:02,T,57,6.1NRT,288.66,14.15,N
19.44257,-104.46815,320.18,1.77,1.3,2026-04-16,04:02,T,100,6.1NRT,291.8,41,N
19.44447,-104.45134,322.34,1.78,1.31,2026-04-16,04:02,T,100,6.1NRT,291.99,46.12,N
19.42573,-104.51478,302.26,1.76,1.3,2026-04-16,04:02,T,48,6.1NRT,291.93,10.19,N
19.36809,-103.40375,314,2.13,1.42,2026-04-16,04:02,T,88,6.1NRT,286.04,39.56,N
21.07252,-102.87367,338.11,2.48,1.52,2026-04-16,04:04,T,100,6.1NRT,291.01,154.25,N
20.65576,-103.89929,302.57,2.04,1.39,2026-04-16,04:04,T,50,6.1NRT,290.34,15.71,N
27.36937,-108.90648,317.53,1.17,1.08,2026-04-16,04:04,T,95,6.1NRT,296.64,17.04,N
27.37378,-108.91359,305.91,1.17,1.08,2026-04-16,04:04,T,66,6.1NRT,295.4,8.08,N
29.35722,-110.95805,326.07,1.03,1.01,2026-04-16,04:04,T,100,6.1NRT,292.96,25.46,N
21.08584,-102.87484,363.02,2.48,1.52,2026-04-16,04:04,T,100,6.1NRT,290.87,358.13,N
21.07026,-102.89609,325.37,2.47,1.51,2026-04-16,04:04,T,100,6.1NRT,289.05,89.83,N
20.61175,-104.42782,314.64,1.86,1.33,2026-04-16,04:04,T,90,6.1NRT,279.23,37.35,N
27.35989,-108.90517,321.36,1.17,1.08,2026-04-16,04:04,T,100,6.1NRT,296.71,21.79,N
21.08012,-102.90389,314.32,2.47,1.51,2026-04-16,04:04,T,89,6.1NRT,287.93,50.34,N
21.08225,-102.88126,379.85,2.48,1.52,2026-04-16,04:04,T,100,6.1NRT,293.99,577.2,N
21.0845,-102.85732,300.13,2.49,1.52,2026-04-16,04:04,T,18,6.1NRT,288.61,16.13,N
21.08348,-102.89803,330.33,2.47,1.51,2026-04-16,04:04,T,100,6.1NRT,288.39,112.09,N
42.68242,-111.59962,300.61,1.3,1.13,2026-04-16,04:08,T,31,6.1NRT,272.72,12.77,N
49.00386,-118.70655,304.11,1,1,2026-04-16,04:12,T,58,6.1NRT,270.42,11.6,N
35.27737,-89.34865,304.66,1.11,1.05,2026-04-16,09:49,A,61,6.1NRT,288.67,8.92,N
17.98687,-94.52558,325.84,1.08,1.04,2026-04-16,09:54,A,100,6.1NRT,295.22,25.1,N
20.15079,-90.34102,304.22,1.77,1.3,2026-04-16,09:54,A,59,6.1NRT,293.37,11.73,N
19.39463,-92.04563,306.75,1.39,1.17,2026-04-16,09:54,A,48,6.1NRT,295.42,8.28,N
19.36554,-91.99855,305.35,1.4,1.17,2026-04-16,09:54,A,28,6.1NRT,295.22,7.06,N
20.05053,-99.29148,300.61,1.34,1.15,2026-04-16,09:54,A,31,6.1NRT,284.2,10.28,N
