latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.3636,-74.04541,303.82,1.01,1,2026-06-14,01:32,T,57,6.1NRT,284.73,6.55,N
33.01114,-79.88312,306.96,1.16,1.07,2026-06-14,01:37,T,62,6.1NRT,288.18,6.28,N
36.32801,-79.83051,304.57,1.06,1.03,2026-06-14,01:37,T,60,6.1NRT,293.27,4.67,N
35.41103,-81.18668,305.32,1.23,1.1,2026-06-14,01:37,T,64,6.1NRT,291.37,6.85,N
32.65471,-81.2281,306.5,1.37,1.16,2026-06-14,01:37,T,68,6.1NRT,287.75,8.92,N
33.01557,-79.88985,305.27,1.16,1.07,2026-06-14,01:37,T,64,6.1NRT,288.2,5.57,N
36.72639,-78.44376,305.78,1,1,2026-06-14,01:37,T,65,6.1NRT,294.67,5.27,N
43.08699,-80.28518,303.01,1,1,2026-06-14,01:39,T,53,6.1NRT,290.84,5.23,N
43.49086,-80.10674,309.69,1,1,2026-06-14,01:39,T,78,6.1NRT,286.81,10.03,N
43.4892,-80.11874,309.4,1,1,2026-06-14,01:39,T,77,6.1NRT,285.96,9.79,N
18.63403,-102.26024,304.73,1.42,1.18,2026-06-14,03:13,T,61,6.1NRT,293.9,6.82,N
27.95262,-101.2458,311.5,1.01,1.01,2026-06-14,03:15,T,78,6.1NRT,297.23,6.13,N
26.01772,-97.94452,311.54,1.1,1.04,2026-06-14,03:15,T,83,6.1NRT,292.3,9.37,N
26.04787,-99.55901,315.94,1,1,2026-06-14,03:15,T,92,6.1NRT,289.44,13.52,N
42.75816,-103.57207,305.17,1.02,1.01,2026-06-14,03:19,T,63,6.1NRT,269.51,10.94,N
46.33466,-118.87972,312.22,3.08,1.67,2026-06-14,04:57,T,84,6.1NRT,289.12,65.08,N
46.34974,-118.88622,334.23,3.08,1.67,2026-06-14,04:57,T,100,6.1NRT,290.85,186.9,N
46.34835,-118.92484,318.28,3.06,1.66,2026-06-14,04:57,T,97,6.1NRT,289.19,91.47,N
46.33311,-118.91829,327.73,3.06,1.66,2026-06-14,04:57,T,100,6.1NRT,289.58,142.04,N
46.34945,-118.88102,326.74,3.08,1.67,2026-06-14,04:57,T,100,6.1NRT,290.57,135.53,N
46.34786,-118.91965,324.64,3.06,1.66,2026-06-14,04:57,T,100,6.1NRT,289.72,122.75,N
46.33495,-118.88484,318.67,3.08,1.67,2026-06-14,04:57,T,97,6.1NRT,289.39,94.05,N
46.33359,-118.92351,321.58,3.06,1.66,2026-06-14,04:57,T,100,6.1NRT,289.13,107.76,N
46.57571,-80.79222,310.53,1.05,1.02,2026-06-14,09:34,A,80,6.1NRT,281.37,14.58,N
33.01604,-79.87836,304.18,2.12,1.42,2026-06-14,09:37,A,59,6.1NRT,286.85,15.47,N
29.08394,-81.43349,300.36,2.07,1.4,2026-06-14,09:39,A,26,6.1NRT,290.33,9.19,N
46.04467,-118.89823,316.33,3,1.65,2026-06-14,11:15,A,93,6.1NRT,285.17,81.59,N
42.68813,-111.58923,341.42,1.12,1.06,2026-06-14,11:15,A,100,6.1NRT,279.76,59.68,N
46.04537,-118.89014,306.89,3,1.65,2026-06-14,11:15,A,70,6.1NRT,283.97,51.79,N
46.35965,-118.87276,300.31,3.02,1.65,2026-06-14,11:15,A,19,6.1NRT,283.46,30.84,N
33.41586,-110.8569,307.06,1.01,1.01,2026-06-14,11:17,A,70,6.1NRT,295.74,6.23,N
18.03706,-66.30648,327.34,1.53,1.22,2026-06-14,13:42,T,82,6.1NRT,299.63,34,D
18.65805,-68.95405,318.6,1.07,1.03,2026-06-14,13:42,T,38,6.1NRT,302.76,8.95,D
18.64902,-68.95555,324.09,1.07,1.03,2026-06-14,13:42,T,78,6.1NRT,300.31,15.27,D
18.03469,-66.29206,337.61,1.54,1.22,2026-06-14,13:42,T,89,6.1NRT,301.79,60.26,D
17.9331,-71.32928,331.51,1.01,1,2026-06-14,13:42,T,84,6.1NRT,298.07,24.57,D
17.91153,-71.38555,311.31,1.01,1,2026-06-14,13:42,T,48,6.1NRT,295.5,4.88,D
19.41348,-155.29329,348.26,3.49,1.76,2026-06-14,14:37,A,100,6.1NRT,286.71,378.49,N
19.40917,-155.26566,342.14,3.51,1.76,2026-06-14,14:37,A,100,6.1NRT,290.68,309.79,N
19.41559,-155.29785,340.07,3.49,1.76,2026-06-14,14:37,A,100,6.1NRT,284.59,286.39,N
19.40687,-155.26134,337.04,3.51,1.76,2026-06-14,14:37,A,100,6.1NRT,290.07,257.05,N
29.97433,-90.44698,325.46,1.1,1.05,2026-06-14,15:16,T,79,6.1NRT,298.37,19.81,D
30.60992,-86.70889,322.11,1.72,1.29,2026-06-14,15:16,T,79,6.1NRT,291.32,30.22,D
30.61312,-86.72594,326.68,1.71,1.28,2026-06-14,15:16,T,83,6.1NRT,291.19,41.42,D
30.60202,-86.72878,338.96,1.71,1.28,2026-06-14,15:16,T,90,6.1NRT,292,76.71,D
33.3849,-86.91764,315.72,1.46,1.2,2026-06-14,15:16,T,22,6.1NRT,294.52,11.58,D
33.43203,-86.96158,314.29,1.45,1.19,2026-06-14,15:16,T,35,6.1NRT,295.93,7.87,D
33.6732,-86.6909,312.31,1.49,1.21,2026-06-14,15:16,T,56,6.1NRT,293.58,10.61,D
33.16969,-86.24969,311.18,1.62,1.25,2026-06-14,15:16,T,26,6.1NRT,295.03,10.29,D
30.59881,-86.71173,336.45,1.72,1.29,2026-06-14,15:16,T,89,6.1NRT,291.43,68.04,D
31.35857,-93.05811,343.15,1.02,1.01,2026-06-14,15:16,T,92,6.1NRT,291.72,45.48,D
29.98344,-90.44508,316.5,1.1,1.05,2026-06-14,15:16,T,62,6.1NRT,300.06,10.03,D
46.00082,-118.94651,359.84,1.61,1.25,2026-06-14,16:52,T,86,6.1NRT,307.52,146.75,D
46.64355,-120.25314,331.28,1.93,1.36,2026-06-14,16:52,T,83,6.1NRT,303.91,51.39,D
46.6384,-120.26087,330.23,1.93,1.36,2026-06-14,16:52,T,82,6.1NRT,303.81,47.69,D
46.35909,-118.88371,360.35,1.61,1.25,2026-06-14,16:52,T,100,6.1NRT,313.39,146.73,D
46.35739,-118.86293,332.39,1.61,1.25,2026-06-14,16:52,T,84,6.1NRT,312.35,34.74,D
46.35836,-118.89095,346.6,1.61,1.25,2026-06-14,16:52,T,93,6.1NRT,310.86,83.09,D
46.35655,-118.87022,337.46,1.61,1.25,2026-06-14,16:52,T,88,6.1NRT,313.74,50.38,D
46.04147,-118.89946,324.57,1.6,1.25,2026-06-14,16:52,T,68,6.1NRT,307.02,26.19,D
46.01195,-118.94621,322.75,1.61,1.25,2026-06-14,16:52,T,0,6.1NRT,303.89,19.3,D
46.01017,-118.92475,323.78,1.6,1.25,2026-06-14,16:52,T,73,6.1NRT,307.28,23.64,D
45.99911,-118.92591,353.47,1.6,1.25,2026-06-14,16:52,T,97,6.1NRT,308.71,117,D
45.9898,-118.94827,349.64,1.61,1.25,2026-06-14,16:52,T,83,6.1NRT,304.48,97.8,D
45.98812,-118.92779,341.18,1.6,1.25,2026-06-14,16:52,T,91,6.1NRT,307.42,67.8,D
46,-118.95406,340.51,1.61,1.25,2026-06-14,16:52,T,68,6.1NRT,304.67,63.09,D
45.99817,-118.93324,357.97,1.6,1.25,2026-06-14,16:52,T,99,6.1NRT,310.49,138.34,D
45.98898,-118.95576,326.87,1.61,1.25,2026-06-14,16:52,T,70,6.1NRT,303.29,27.51,D
45.98717,-118.93507,349.76,1.6,1.25,2026-06-14,16:52,T,95,6.1NRT,306.84,101.85,D
42.68577,-111.58845,315.46,1.06,1.03,2026-06-14,16:52,T,69,6.1NRT,298.29,10.34,D
32.87318,-118.45621,333.13,1.08,1.04,2026-06-14,16:54,T,85,6.1NRT,303.62,23.81,D
32.8746,-118.46757,342.91,1.08,1.04,2026-06-14,16:54,T,91,6.1NRT,304.2,42.17,D
29.39747,-114.39958,332.91,1.2,1.09,2026-06-14,16:56,T,81,6.1NRT,306.17,24.35,D
29.38611,-114.38998,328.52,1.2,1.09,2026-06-14,16:56,T,75,6.1NRT,304.76,15.64,D
29.38807,-114.40205,328.49,1.2,1.09,2026-06-14,16:56,T,75,6.1NRT,303.31,15.89,D
29.39552,-114.38755,325.15,1.2,1.09,2026-06-14,16:56,T,69,6.1NRT,306.23,11.29,D
19.41103,-155.27223,379.82,4.75,1.99,2026-06-14,18:38,T,100,6.1NRT,303.76,1408.54,D
19.39707,-155.31816,323.54,4.79,2,2026-06-14,18:38,T,77,6.1NRT,297.72,161.63,D
19.39353,-155.27383,347.5,4.75,1.99,2026-06-14,18:38,T,94,6.1NRT,298.59,503.33,D
19.41381,-155.32343,314.34,4.79,2,2026-06-14,18:38,T,40,6.1NRT,295.44,84.53,D
19.41452,-155.31537,346.72,4.79,2,2026-06-14,18:38,T,94,6.1NRT,296.86,491.12,D
19.41005,-155.28049,391.69,4.75,1.99,2026-06-14,18:38,T,100,6.1NRT,305.52,1929.3,D
19.39255,-155.28197,339.69,4.75,1.99,2026-06-14,18:38,T,90,6.1NRT,298.91,364.51,D
29.0732,-81.42921,362.9,1,1,2026-06-14,20:34,A,94,6.1NRT,295.75,87.24,D
26.54717,-78.65195,326.29,1.14,1.06,2026-06-14,20:34,A,60,6.1NRT,298.33,19.17,D
26.54575,-78.66301,323.61,1.14,1.06,2026-06-14,20:34,A,58,6.1NRT,298.73,15.53,D
26.88985,-77.61167,376.32,1.3,1.13,2026-06-14,20:34,A,100,6.1NRT,304.48,0,D
26.56767,-80.5415,321.04,1.01,1,2026-06-14,20:34,A,42,6.1NRT,301.2,7.9,D
29.07464,-81.41929,348.39,1,1,2026-06-14,20:34,A,82,6.1NRT,294.18,51.75,D
29.07176,-81.43913,356.36,1,1,2026-06-14,20:34,A,93,6.1NRT,296.6,70.3,D
34.69176,-85.00756,313.07,1.06,1.03,2026-06-14,20:36,A,42,6.1NRT,298.46,7.19,D
33.32057,-90.26691,315.05,2.15,1.43,2026-06-14,20:36,A,31,6.1NRT,296.72,20.71,D
35.97952,-83.96057,316.86,1,1,2026-06-14,20:36,A,65,6.1NRT,297.87,6.25,D
33.18314,-87.28014,315.41,1.4,1.17,2026-06-14,20:36,A,16,6.1NRT,298.28,9.52,D
42.03316,-90.6526,307.05,1.41,1.18,2026-06-14,20:38,A,43,6.1NRT,295.27,7.44,D
37.99784,-87.48721,310.15,1.19,1.08,2026-06-14,20:38,A,34,6.1NRT,297.42,6.27,D
37.82147,-90.46413,305.18,1.72,1.29,2026-06-14,20:38,A,17,6.1NRT,292.98,7.15,D
42.46846,-93.89331,307.64,2.08,1.4,2026-06-14,20:40,A,48,6.1NRT,296.27,10.86,D
44.94153,-92.2861,307.35,1.47,1.2,2026-06-14,20:40,A,57,6.1NRT,294.8,9.23,D
41.78181,-99.76787,308.57,4.75,1.99,2026-06-14,20:40,A,34,6.1NRT,296.47,41.43,D
43.24557,-93.64272,312.93,1.91,1.35,2026-06-14,20:40,A,61,6.1NRT,298.09,15.47,D
42.89743,-93.21622,310.53,1.85,1.33,2026-06-14,20:40,A,61,6.1NRT,296.85,14.95,D
49.91908,-96.80102,305.44,1.8,1.32,2026-06-14,20:42,A,44,6.1NRT,292.45,7.82,D
18.98594,-101.49956,322.23,1.15,1.07,2026-06-14,22:12,A,72,6.1NRT,301.35,12.95,D
18.04166,-101.11783,317.92,1.17,1.08,2026-06-14,22:12,A,51,6.1NRT,299.34,9.28,D
18.06307,-101.50884,317.19,1.12,1.06,2026-06-14,22:12,A,59,6.1NRT,300.23,7.41,D
18.02848,-102.03277,351.62,1.07,1.03,2026-06-14,22:12,A,96,6.1NRT,303.89,61.89,D
