latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.3966,-155.25887,338.99,1.11,1.05,2026-06-15,01:28,A,71,6.1NRT,288.06,41.81,D
19.42227,-155.27399,335.87,1.11,1.05,2026-06-15,01:28,A,65,6.1NRT,290.13,34.22,D
19.41317,-155.27235,423.37,1.11,1.05,2026-06-15,01:28,A,75,6.1NRT,300.16,481.78,D
19.41477,-155.26224,371.45,1.11,1.05,2026-06-15,01:28,A,100,6.1NRT,295,132.6,D
19.40569,-155.26051,423.26,1.11,1.05,2026-06-15,01:28,A,94,6.1NRT,298.74,483.47,D
19.38587,-92.06273,306.75,3.03,1.66,2026-06-15,02:11,T,48,6.1NRT,292.33,21.8,N
17.75639,-92.9261,310.97,3.82,1.83,2026-06-15,02:11,T,81,6.1NRT,290.42,64.36,N
19.39112,-92.03529,308.62,3.02,1.65,2026-06-15,02:11,T,62,6.1NRT,292.33,27.8,N
17.76381,-92.92239,307.59,3.82,1.83,2026-06-15,02:11,T,59,6.1NRT,290.73,45.82,N
29.06281,-81.41484,314.31,1.46,1.19,2026-06-15,02:15,T,70,6.1NRT,279.53,20.74,N
29.0749,-81.40165,306.45,1.46,1.19,2026-06-15,02:15,T,52,6.1NRT,278.09,12.29,N
30.94181,-88.01205,307.99,1.06,1.03,2026-06-15,02:15,T,68,6.1NRT,293.24,7.25,N
31.41275,-87.33095,316.78,1.01,1.01,2026-06-15,02:15,T,93,6.1NRT,294.6,12.82,N
29.05228,-81.41341,317.72,1.46,1.19,2026-06-15,02:15,T,96,6.1NRT,280.02,26.56,N
29.06437,-81.40018,316.44,1.46,1.19,2026-06-15,02:15,T,93,6.1NRT,279.87,24.27,N
31.48764,-90.25024,300.96,1.29,1.13,2026-06-15,02:17,T,22,6.1NRT,281.99,5.27,N
33.4395,-88.56969,309.24,1.05,1.02,2026-06-15,02:17,T,77,6.1NRT,294.43,7.42,N
33.94233,-86.65627,310.9,1.01,1,2026-06-15,02:17,T,81,6.1NRT,293.04,8.6,N
33.76414,-91.72086,304.27,1.42,1.18,2026-06-15,02:17,T,16,6.1NRT,290.2,9.99,N
33.77439,-91.7235,317.6,1.42,1.18,2026-06-15,02:17,T,95,6.1NRT,290.74,24.83,N
