latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.02166,-66.87026,302.14,1.13,1.06,2026-05-27,01:17,T,30,6.1NRT,284.69,5.73,N
45.9158,-77.34975,305.81,1.01,1,2026-05-27,01:24,T,66,6.1NRT,289.88,6.84,N
17.7581,-92.91978,333.43,1.01,1.01,2026-05-27,02:56,T,100,6.1NRT,297.18,30.83,N
18.30198,-88.81399,307.36,1.68,1.27,2026-05-27,02:56,T,69,6.1NRT,293.5,13.14,N
17.87896,-92.4872,314.6,1.04,1.02,2026-05-27,02:56,T,89,6.1NRT,295.86,10.26,N
17.89834,-92.4866,327.1,1.04,1.02,2026-05-27,02:56,T,100,6.1NRT,295.45,23.75,N
17.8971,-92.49612,328.43,1.04,1.02,2026-05-27,02:56,T,100,6.1NRT,295.19,25.4,N
17.8417,-93.11825,374.57,1.01,1,2026-05-27,02:56,T,100,6.1NRT,296.66,130.56,N
17.84046,-93.12749,325.8,1.01,1,2026-05-27,02:56,T,100,6.1NRT,295.33,20.56,N
17.88198,-93.15258,307.92,1.01,1,2026-05-27,02:56,T,67,6.1NRT,295.21,5,N
17.89856,-93.17987,315.68,1.01,1,2026-05-27,02:56,T,90,6.1NRT,295.55,10.64,N
17.89732,-93.1891,315.17,1.01,1,2026-05-27,02:56,T,89,6.1NRT,296.34,10.41,N
17.92939,-93.63172,309.75,1,1,2026-05-27,02:56,T,72,6.1NRT,296.11,6.32,N
17.94188,-93.67107,307.9,1,1,2026-05-27,02:56,T,64,6.1NRT,295.92,5.26,N
18.00838,-93.44711,312.94,1,1,2026-05-27,02:56,T,83,6.1NRT,296.23,8.52,N
18.00712,-93.4563,317.05,1,1,2026-05-27,02:56,T,93,6.1NRT,296.06,11.93,N
18.06517,-93.31139,310.78,1,1,2026-05-27,02:56,T,77,6.1NRT,295.94,7.29,N
18.03894,-93.50455,312.83,1,1,2026-05-27,02:56,T,83,6.1NRT,296.41,8.59,N
18.0477,-93.5715,310.49,1,1,2026-05-27,02:56,T,75,6.1NRT,296.07,7.06,N
18.04645,-93.58067,312.55,1,1,2026-05-27,02:56,T,81,6.1NRT,295.89,8.6,N
18.09262,-94.04392,311.45,1,1,2026-05-27,02:56,T,78,6.1NRT,296.73,7.99,N
18.09134,-94.05312,309,1,1,2026-05-27,02:56,T,69,6.1NRT,296.49,6.13,N
18.10679,-94.34401,308.09,1.01,1,2026-05-27,02:56,T,69,6.1NRT,295.75,6.15,N
18.06192,-94.91099,306.93,1.04,1.02,2026-05-27,02:56,T,67,6.1NRT,295.86,5.06,N
18.20728,-94.01136,310.4,1,1,2026-05-27,02:56,T,74,6.1NRT,296.26,6.71,N
18.44171,-93.16964,312.28,1.01,1.01,2026-05-27,02:56,T,82,6.1NRT,297.4,6.58,N
18.15374,-96.03986,301.05,1.14,1.06,2026-05-27,02:56,T,37,6.1NRT,272.45,5.48,N
18.15217,-96.05027,303.35,1.14,1.06,2026-05-27,02:56,T,55,6.1NRT,273.34,7.32,N
18.3235,-96.32977,303.32,1.17,1.08,2026-05-27,02:56,T,54,6.1NRT,281.55,5.79,N
18.86524,-92.6218,341.8,1.04,1.02,2026-05-27,02:56,T,100,6.1NRT,296.06,45.06,N
18.86397,-92.63142,324.72,1.04,1.02,2026-05-27,02:56,T,100,6.1NRT,295.87,19.62,N
18.41489,-96.20929,300.09,1.15,1.07,2026-05-27,02:56,T,16,6.1NRT,268.9,6.27,N
18.41329,-96.21985,301.27,1.15,1.07,2026-05-27,02:56,T,39,6.1NRT,269.52,6.99,N
18.56322,-95.77583,302.02,1.1,1.05,2026-05-27,02:56,T,46,6.1NRT,285.27,3.77,N
18.59214,-95.77034,315.38,1.1,1.04,2026-05-27,02:56,T,91,6.1NRT,288.48,13.73,N
18.51164,-96.3081,309.88,1.16,1.07,2026-05-27,02:56,T,79,6.1NRT,275.72,12.64,N
18.0402,-93.49538,313.48,1,1,2026-05-27,02:56,T,85,6.1NRT,296.54,9.13,N
17.51412,-93.8174,325.52,1,1,2026-05-27,02:56,T,100,6.1NRT,295.62,20.94,N
19.29262,-92.16774,311.3,1.09,1.04,2026-05-27,02:58,T,74,6.1NRT,294.58,7.82,N
19.36747,-92.00871,317.46,1.11,1.05,2026-05-27,02:58,T,94,6.1NRT,295.11,13.82,N
19.39119,-92.04336,316.29,1.1,1.05,2026-05-27,02:58,T,90,6.1NRT,295.16,12.3,N
19.43735,-92.03558,314.61,1.1,1.05,2026-05-27,02:58,T,86,6.1NRT,295.08,10.89,N
19.44931,-92.08928,318.58,1.1,1.05,2026-05-27,02:58,T,96,6.1NRT,294.87,14.91,N
18.4049,-100.2261,304.19,2.15,1.42,2026-05-27,02:58,T,59,6.1NRT,291.38,9.19,N
18.43994,-102.64569,312.9,3.3,1.72,2026-05-27,02:58,T,86,6.1NRT,288.59,69.78,N
19.35176,-100.84974,310.07,2.29,1.47,2026-05-27,02:58,T,70,6.1NRT,294.45,21.35,N
19.34768,-100.87281,318.93,2.3,1.47,2026-05-27,02:58,T,98,6.1NRT,295.32,44.64,N
19.36043,-100.87525,307.15,2.3,1.47,2026-05-27,02:58,T,70,6.1NRT,294.88,14.7,N
20.4537,-104.89056,300.63,4.41,1.93,2026-05-27,02:58,T,31,6.1NRT,283.77,40.67,N
20.45787,-104.89801,303.1,4.41,1.93,2026-05-27,02:58,T,53,6.1NRT,284.34,53.09,N
22.26653,-97.80983,301.5,1.25,1.11,2026-05-27,02:58,T,35,6.1NRT,282.98,4.74,N
22.1146,-99.05845,316.56,1.5,1.21,2026-05-27,02:58,T,93,6.1NRT,291.63,21.37,N
22.12512,-99.06048,305.87,1.5,1.21,2026-05-27,02:58,T,66,6.1NRT,291.91,7.1,N
26.05234,-98.21222,313.44,1.16,1.07,2026-05-27,02:58,T,87,6.1NRT,293.06,12.65,N
26.05056,-98.22346,307.75,1.17,1.07,2026-05-27,02:58,T,72,6.1NRT,293.19,8.11,N
35.86353,-95.88859,304.99,1.1,1.04,2026-05-27,03:00,T,62,6.1NRT,290.79,7.23,N
39.99874,-90.4227,303.9,2.47,1.51,2026-05-27,03:02,T,53,6.1NRT,282.47,30.89,N
40.00042,-90.39436,300.98,2.48,1.52,2026-05-27,03:02,T,25,6.1NRT,281.86,24.93,N
45.06669,-105.97165,308.31,1.35,1.15,2026-05-27,03:04,T,74,6.1NRT,276.12,15.74,N
48.52238,-96.95556,302.33,1.36,1.16,2026-05-27,03:04,T,48,6.1NRT,290.28,7.71,N
45.05678,-105.96817,304.97,1.35,1.15,2026-05-27,03:04,T,60,6.1NRT,276.03,11.87,N
45.27456,-96.03996,301.09,1.37,1.16,2026-05-27,03:04,T,37,6.1NRT,289.58,7.43,N
46.58144,-80.79089,315.85,1.15,1.07,2026-05-27,09:37,A,92,6.1NRT,280.33,22.2,N
40.64337,-89.63226,302.14,1.2,1.09,2026-05-27,09:39,A,47,6.1NRT,276.65,9.61,N
41.48203,-90.82057,302.38,1.4,1.17,2026-05-27,09:39,A,49,6.1NRT,286.11,12.38,N
19.39662,-92.04748,308.33,1,1,2026-05-27,09:43,A,60,6.1NRT,295.42,4.82,N
19.39524,-92.03829,316.59,1,1,2026-05-27,09:43,A,91,6.1NRT,295.68,11.17,N
19.37226,-92.00442,316.95,1,1,2026-05-27,09:43,A,92,6.1NRT,295.64,11.55,N
19.29422,-92.16418,310.81,1,1,2026-05-27,09:43,A,72,6.1NRT,295.21,6.67,N
19.44867,-92.07937,307.14,1,1,2026-05-27,09:43,A,52,6.1NRT,295.52,3.95,N
19.45005,-92.08856,310.12,1,1,2026-05-27,09:43,A,69,6.1NRT,295.56,5.99,N
19.44176,-92.03342,315.13,1,1,2026-05-27,09:43,A,87,6.1NRT,296,10.01,N
17.84708,-93.12483,310.99,1.02,1.01,2026-05-27,09:45,A,81,6.1NRT,294.83,8.61,N
18.41992,-93.18847,313.29,1.03,1.01,2026-05-27,09:45,A,86,6.1NRT,296.69,9.6,N
18.20442,-94.00374,308.35,1.08,1.04,2026-05-27,09:45,A,74,6.1NRT,293.16,7.67,N
18.04092,-93.06293,304.97,1.02,1.01,2026-05-27,09:45,A,59,6.1NRT,294.79,4.88,N
17.89854,-92.49003,312.82,1,1,2026-05-27,09:45,A,85,6.1NRT,294.6,9.19,N
17.88108,-92.49283,305.27,1,1,2026-05-27,09:45,A,62,6.1NRT,294.79,4.27,N
17.87971,-92.48372,308.92,1,1,2026-05-27,09:45,A,75,6.1NRT,294.82,6.49,N
18.09887,-94.04583,306.99,1.09,1.04,2026-05-27,09:45,A,70,6.1NRT,295.87,6.39,N
18.10316,-94.34287,312.31,1.12,1.05,2026-05-27,09:45,A,85,6.1NRT,294.61,10.73,N
17.90066,-93.18295,306.88,1.02,1.01,2026-05-27,09:45,A,68,6.1NRT,296.07,5.91,N
17.89321,-93.19362,313.01,1.02,1.01,2026-05-27,09:45,A,86,6.1NRT,295.71,10.09,N
17.89184,-93.18433,313.53,1.02,1.01,2026-05-27,09:45,A,87,6.1NRT,295.56,10.44,N
17.84572,-93.11557,352.65,1.02,1.01,2026-05-27,09:45,A,100,6.1NRT,296.4,68.27,N
17.75948,-92.91788,310.17,1.01,1,2026-05-27,09:45,A,79,6.1NRT,294.78,8.58,N
17.51161,-93.81374,330.4,1.05,1.03,2026-05-27,09:45,A,100,6.1NRT,294.48,30.23,N
45.07442,-105.95648,327.7,1.16,1.07,2026-05-27,11:17,A,100,6.1NRT,270.25,36.51,N
45.07695,-105.97051,316.78,1.16,1.07,2026-05-27,11:17,A,94,6.1NRT,269.65,22.45,N
33.42303,-110.85656,317.08,1.09,1.04,2026-05-27,11:19,A,94,6.1NRT,287.62,19.55,N
41.45563,-81.67391,315.36,1.17,1.08,2026-05-27,14:59,T,36,6.1NRT,297.21,7.8,D
41.99436,-79.35695,306.84,1.46,1.19,2026-05-27,14:59,T,64,6.1NRT,292.65,9.33,D
43.72417,-93.70608,316.08,2.49,1.52,2026-05-27,14:59,T,51,6.1NRT,295.31,20.19,D
28.75342,-82.03286,344,1.96,1.37,2026-05-27,15:01,T,93,6.1NRT,291.46,115.5,D
28.75705,-82.05199,348.76,1.95,1.36,2026-05-27,15:01,T,95,6.1NRT,290.94,140.69,D
28.72978,-82.03871,314.25,1.96,1.37,2026-05-27,15:01,T,67,6.1NRT,292.3,13.33,D
27.5476,-82.12076,332.7,2.05,1.39,2026-05-27,15:01,T,87,6.1NRT,290.66,77.18,D
18.41551,-91.32141,318.35,1,1,2026-05-27,15:05,T,48,6.1NRT,301.76,7.41,D
18.24027,-91.05292,319.07,1,1,2026-05-27,15:05,T,64,6.1NRT,300.05,6.23,D
18.23896,-91.04372,319.01,1,1,2026-05-27,15:05,T,67,6.1NRT,300.54,6.57,D
18.09085,-90.98494,318.2,1,1,2026-05-27,15:05,T,70,6.1NRT,299.57,6.8,D
18.08207,-90.98627,336.49,1,1,2026-05-27,15:05,T,88,6.1NRT,299.15,27.87,D
18.06411,-90.92339,317.99,1,1,2026-05-27,15:05,T,70,6.1NRT,298.63,5.67,D
17.94622,-90.23499,322.35,1.02,1.01,2026-05-27,15:05,T,76,6.1NRT,291.52,14.97,D
17.83946,-90.70776,322.1,1,1,2026-05-27,15:05,T,76,6.1NRT,297.95,11.74,D
17.89506,-92.49022,333.09,1.06,1.03,2026-05-27,15:05,T,80,6.1NRT,297.51,28.34,D
18.00204,-93.44639,315.34,1.16,1.07,2026-05-27,15:05,T,66,6.1NRT,296.21,7.97,D
17.8757,-92.48309,317.42,1.06,1.03,2026-05-27,15:05,T,0,6.1NRT,297.86,8.76,D
18.00627,-93.55516,317.63,1.18,1.08,2026-05-27,15:05,T,70,6.1NRT,293.94,11.73,D
18.00093,-93.55151,328.08,1.17,1.08,2026-05-27,15:05,T,82,6.1NRT,294.67,25.49,D
17.88666,-93.19093,323.34,1.13,1.06,2026-05-27,15:05,T,47,6.1NRT,298.71,14.01,D
17.84184,-93.11937,359.41,1.12,1.05,2026-05-27,15:05,T,99,6.1NRT,297.77,91.39,D
17.84048,-93.10914,330.6,1.12,1.05,2026-05-27,15:05,T,84,6.1NRT,296.81,26.59,D
17.50771,-92.1516,310.29,1.03,1.01,2026-05-27,15:05,T,32,6.1NRT,296.46,4.17,D
18.41879,-93.1852,321.1,1.14,1.06,2026-05-27,15:05,T,70,6.1NRT,300.99,10.6,D
19.3887,-89.9929,310.8,1.01,1.01,2026-05-27,15:05,T,64,6.1NRT,293.23,5.89,D
19.44394,-92.0902,312.27,1.05,1.02,2026-05-27,15:05,T,53,6.1NRT,295.16,7.8,D
19.436,-92.03183,312.92,1.05,1.02,2026-05-27,15:05,T,56,6.1NRT,295.04,8.55,D
19.36786,-92.00224,314.49,1.05,1.02,2026-05-27,15:05,T,61,6.1NRT,294.99,9.79,D
19.15588,-90.81254,325.27,1,1,2026-05-27,15:05,T,80,6.1NRT,298.48,15.47,D
19.1471,-90.81389,325.28,1,1,2026-05-27,15:05,T,80,6.1NRT,298.33,14.81,D
19.55415,-98.32304,309.3,2.69,1.57,2026-05-27,15:05,T,55,6.1NRT,285.4,22.41,D
18.12296,-88.76798,311.33,1.13,1.06,2026-05-27,15:05,T,66,6.1NRT,285.65,8.36,D
18.63368,-92.50381,312.22,1.07,1.03,2026-05-27,15:05,T,30,6.1NRT,296.27,5.34,D
45.89424,-96.10242,331.55,3.09,1.67,2026-05-27,16:35,T,78,6.1NRT,303.06,95.51,D
45.06952,-105.97919,375.48,1.08,1.04,2026-05-27,16:37,T,94,6.1NRT,280.71,147.2,D
45.07629,-105.96299,331.82,1.08,1.04,2026-05-27,16:37,T,82,6.1NRT,283.99,30.67,D
45.06733,-105.96596,387.4,1.08,1.04,2026-05-27,16:37,T,100,6.1NRT,288.28,203.58,D
45.06513,-105.95268,347.71,1.08,1.04,2026-05-27,16:37,T,94,6.1NRT,281.8,59.37,D
45.05615,-105.95562,326.99,1.08,1.04,2026-05-27,16:37,T,76,6.1NRT,279.23,23.27,D
42.6846,-111.59108,331.46,1.09,1.04,2026-05-27,16:37,T,74,6.1NRT,301.52,28.19,D
33.41919,-110.86086,337.69,1.02,1.01,2026-05-27,16:39,T,86,6.1NRT,308.96,29.65,D
28.29646,-111.21227,322.62,1.09,1.04,2026-05-27,16:41,T,54,6.1NRT,309.2,8.53,D
28.29477,-111.20152,332.09,1.09,1.04,2026-05-27,16:41,T,79,6.1NRT,309.31,21.74,D
26.85071,-108.46936,334.89,1.62,1.25,2026-05-27,16:41,T,85,6.1NRT,310.71,45.91,D
26.84957,-108.47631,326.66,1.62,1.25,2026-05-27,16:41,T,79,6.1NRT,310.18,26.72,D
26.84674,-108.46023,325.39,1.62,1.25,2026-05-27,16:41,T,68,6.1NRT,310.9,21.65,D
26.14776,-108.06096,314.13,1.79,1.31,2026-05-27,16:41,T,55,6.1NRT,303.6,14.5,D
25.44465,-107.58189,319.8,2,1.38,2026-05-27,16:41,T,66,6.1NRT,305.98,16.37,D
24.70964,-107.69378,322.1,2.03,1.39,2026-05-27,16:41,T,75,6.1NRT,302.12,25.67,D
22.48885,-105.2001,314.45,3.47,1.75,2026-05-27,16:41,T,27,6.1NRT,287.55,37.58,D
22.4922,-105.20544,310.79,3.47,1.75,2026-05-27,16:41,T,31,6.1NRT,287.71,26.95,D
20.45131,-104.89195,319.25,4.08,1.87,2026-05-27,16:41,T,61,6.1NRT,294.78,97.37,D
43.53021,-120.62936,300.06,3.75,1.81,2026-05-27,18:13,T,10,6.1NRT,283.57,16.75,D
17.51133,-90.91724,317.12,4.61,1.97,2026-05-27,20:36,A,67,6.1NRT,294.08,49.97,D
21.34093,-88.7089,323.85,2.56,1.54,2026-05-27,20:36,A,32,6.1NRT,291.51,57.25,D
